id,name,address,district,lng,lat,type,facility_type,keyword
BV10006454,北京南站(地铁站),14号线;4号线/大兴线,丰台区,116.379008,39.865012,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10000102,北京西站(地铁站),7号线;9号线,丰台区,116.321262,39.894763,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10013461,国贸(地铁站),10号线;1号线/八通线,朝阳区,116.461841,39.909104,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10000222,草桥(地铁站),(在建)大兴机场线北延;10号线;19号线;大兴机场线,丰台区,116.351387,39.845869,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10013367,十里河(地铁站),10号线;14号线;17号线,朝阳区,116.458103,39.866135,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10000743,宋家庄(地铁站),10号线;5号线;亦庄线,丰台区,116.428368,39.845849,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10003869,天宫院(地铁站),4号线/大兴线,大兴区,116.319932,39.670342,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10013475,六里桥(地铁站),10号线;9号线,丰台区,116.302808,39.880239,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10001595,西直门(地铁站),13号线;2号线;4号线/大兴线,西城区,116.355426,39.940474,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10006496,王府井(地铁站),1号线/八通线;8号线,东城区,116.411571,39.908069,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10002731,东直门(地铁站),(在建)13B号线;13号线;2号线;首都机场线,东城区,116.435842,39.941626,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10013495,丰台站(地铁站),10号线;16号线,丰台区,116.304501,39.850249,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10000571,朱辛庄(地铁站),8号线;昌平线,昌平区,116.313698,40.104297,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10006813,北京站(地铁站),2号线,东城区,116.427287,39.904983,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10013457,五棵松(地铁站),1号线/八通线,海淀区,116.273987,39.907456,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10000017,牡丹园(地铁站),10号线;19号线,海淀区,116.369619,39.976388,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10006791,西单(地铁站),1号线/八通线;4号线/大兴线,西城区,116.374276,39.907379,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10013385,双井(地铁站),10号线;7号线,朝阳区,116.463738,39.893352,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10000199,三元桥(地铁站),10号线;12号线;首都机场线,朝阳区,116.456997,39.961508,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10000338,沙河(地铁站),昌平线,昌平区,116.288865,40.148278,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10013482,昌平(地铁站),昌平线,昌平区,116.233590,40.220550,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10013356,望京(地铁站),14号线;15号线,朝阳区,116.469409,39.998521,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10006575,芍药居(地铁站),(在建)13B号线;10号线;13号线,朝阳区,116.435914,39.977636,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10013418,新宫(地铁站),19号线;4号线/大兴线,丰台区,116.365549,39.812592,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10013364,大望路(地铁站),(在建)28号线;14号线;1号线/八通线,朝阳区,116.475783,39.908287,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10006499,天安门东(地铁站),1号线/八通线,东城区,116.401216,39.907780,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10013446,天通苑(地铁站),18号线;5号线,昌平区,116.412890,40.075248,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10013462,什刹海(地铁站),8号线,西城区,116.396219,39.937583,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10004298,朝阳门(地铁站),2号线;6号线,朝阳区,116.434508,39.924487,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10007027,西二旗(地铁站),13号线;昌平线,海淀区,116.306295,40.053034,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10013514,回龙观(地铁站),(在建)13B号线;13号线,昌平区,116.336116,40.070800,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10005884,前门(地铁站),2号线;8号线,东城区,116.397937,39.900192,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10009387,后沙峪(地铁站),15号线,顺义区,116.564211,40.114127,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10013405,顺义(地铁站),15号线,顺义区,116.657023,40.129994,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10006886,五道口(地铁站),13号线,海淀区,116.337742,39.992894,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10416639,潞城(地铁站),6号线,通州区,116.747507,39.902827,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10013465,北土城(地铁站),10号线;8号线,朝阳区,116.394194,39.977601,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10000383,西红门(地铁站),4号线/大兴线,大兴区,116.328689,39.789800,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10013425,长阳(地铁站),房山线,房山区,116.212692,39.763871,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10416643,通州北关(地铁站),(在建)22号线/平谷线;6号线,通州区,116.661482,39.918368,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10881789,牛街(地铁站),19号线,西城区,116.363475,39.890719,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10013377,望京西(地铁站),(在建)13B号线;13号线;15号线;17号线,朝阳区,116.447987,39.994160,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10000548,东大桥(地铁站),(在建)22号线/平谷线;(在建)28号线;17号线;6号线,朝阳区,116.450379,39.922852,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10013392,南锣鼓巷(地铁站),6号线;8号线,东城区,116.404192,39.933848,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV11640690,瀛海(地铁站),8号线,大兴区,116.448982,39.760713,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10000461,立水桥(地铁站),(在建)13B号线;13号线;5号线,朝阳区,116.412316,40.052987,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10002186,俸伯(地铁站),15号线,顺义区,116.684732,40.132573,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV11467455,清河站(地铁站),13号线;昌平线,海淀区,116.314961,40.041164,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10013488,太阳宫(地铁站),10号线;17号线,朝阳区,116.448213,39.973816,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10013443,北新桥(地铁站),5号线;首都机场线,东城区,116.416884,39.940782,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10000543,潘家园(地铁站),10号线,朝阳区,116.460926,39.875387,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10000306,公主坟(地铁站),10号线;1号线/八通线,海淀区,116.310290,39.907478,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10013417,角门西(地铁站),10号线;4号线/大兴线,丰台区,116.371154,39.845850,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10013433,崇文门(地铁站),2号线;5号线,东城区,116.416909,39.901085,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10011994,团结湖(地铁站),10号线;3号线,朝阳区,116.460186,39.933734,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10013489,呼家楼(地铁站),10号线;6号线,朝阳区,116.461601,39.923317,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10000647,百子湾(地铁站),7号线,朝阳区,116.497768,39.892530,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10007921,同济南路(地铁站),亦庄线,通州区,116.539835,39.772900,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV11640695,金鱼胡同(地铁站),8号线,东城区,116.411186,39.916372,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10000295,古城(地铁站),1号线/八通线,石景山区,116.190337,39.907450,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10000188,军事博物馆(地铁站),1号线/八通线;9号线,海淀区,116.321459,39.907422,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10013494,首经贸(地铁站),10号线;房山线,丰台区,116.320202,39.844463,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10006429,常营(地铁站),6号线,朝阳区,116.599722,39.925696,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10013430,积水潭(地铁站),19号线;2号线,西城区,116.373126,39.948653,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10000335,旧宫(地铁站),亦庄线,大兴区,116.460789,39.806910,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10013507,青年路(地铁站),6号线,朝阳区,116.517510,39.922919,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10000269,六里桥东(地铁站),9号线,丰台区,116.315024,39.887125,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10006917,张郭庄(地铁站),(在建)1号线支线;14号线,丰台区,116.187193,39.858100,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10013413,平安里(地铁站),19号线;4号线/大兴线;6号线,西城区,116.372883,39.933949,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10013411,海淀黄庄(地铁站),10号线;4号线/大兴线,海淀区,116.317564,39.975996,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10000302,八宝山(地铁站),1号线/八通线,石景山区,116.235907,39.907417,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10013519,双桥(地铁站),1号线/八通线,朝阳区,116.576754,39.910142,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10013442,东四(地铁站),5号线;6号线,东城区,116.417492,39.924562,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10007162,劲松(地铁站),10号线,朝阳区,116.461422,39.884467,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10013381,珠市口(地铁站),7号线;8号线,东城区,116.398372,39.891334,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10013439,天坛东门(地铁站),5号线,东城区,116.420833,39.882558,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10004138,土桥(地铁站),1号线/八通线,通州区,116.686349,39.871926,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10006224,九龙山(地铁站),14号线;7号线,朝阳区,116.478879,39.893210,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10013431,鼓楼大街(地铁站),2号线;8号线,西城区,116.393776,39.948972,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10013410,中关村(地铁站),4号线/大兴线,海淀区,116.316467,39.983991,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10013447,天通苑北(地铁站),5号线,昌平区,116.412888,40.083668,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10000275,四惠(地铁站),1号线/八通线,朝阳区,116.495456,39.908749,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10004378,回龙观东大街(地铁站),18号线;8号线,昌平区,116.363027,40.081194,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10006603,蒲黄榆(地铁站),14号线;5号线,丰台区,116.423087,39.865584,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10416588,来广营(地铁站),14号线,朝阳区,116.466999,40.020430,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10000877,生命科学园(地铁站),昌平线,昌平区,116.294230,40.094790,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10000636,七里庄(地铁站),14号线;9号线,丰台区,116.294293,39.866981,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10013404,石门(地铁站),15号线,顺义区,116.641117,40.129802,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10006563,雍和宫(地铁站),2号线;5号线,东城区,116.417537,39.949333,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10000215,西局(地铁站),10号线;14号线,丰台区,116.304106,39.866676,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10013453,亦庄桥(地铁站),亦庄线,大兴区,116.480307,39.803011,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10013438,刘家窑(地铁站),5号线,丰台区,116.422119,39.857521,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV11494889,金安桥(地铁站),11号线;6号线;S1线,石景山区,116.162586,39.923298,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10013486,西土城(地铁站),10号线;昌平线,海淀区,116.354314,39.976372,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10740318,马连洼(地铁站),(在建)13B号线;16号线;18号线,海淀区,116.274280,40.032713,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10416645,物资学院路(地铁站),6号线,通州区,116.639316,39.926801,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10000737,大红门(地铁站),10号线;8号线,丰台区,116.399154,39.845383,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10000920,西苑(地铁站),16号线;4号线/大兴线,海淀区,116.290908,39.998258,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10007658,霍营(地铁站),(在建)13B号线;13号线;8号线,昌平区,116.360286,40.071857,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10013485,苏州街(地铁站),10号线;16号线,海淀区,116.306332,39.975642,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10001218,知春路(地铁站),10号线;13号线,海淀区,116.339960,39.976476,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10000481,十里堡(地铁站),6号线,朝阳区,116.502052,39.922919,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10013432,建国门(地铁站),1号线/八通线;2号线,朝阳区,116.435782,39.908561,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10011266,次渠(地铁站),17号线;亦庄线,通州区,116.591563,39.803550,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10013515,龙泽(地铁站),(在建)13B号线;13号线,昌平区,116.319429,40.070882,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10006882,草房(地铁站),6号线,朝阳区,116.615574,39.924477,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV11253781,花庄(地铁站),1号线/八通线;7号线,通州区,116.695495,39.856722,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10013460,永安里(地铁站),17号线;1号线/八通线,朝阳区,116.450300,39.910083,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10740319,永丰(地铁站),16号线,海淀区,116.238481,40.071868,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10013383,磁器口(地铁站),5号线;7号线,东城区,116.419940,39.893172,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV09159778,未来科学城(地铁站),17号线,昌平区,116.466838,40.115628,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10008284,金台路(地铁站),14号线;6号线,朝阳区,116.478115,39.923556,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10013379,菜市口(地铁站),4号线/大兴线;7号线,西城区,116.374425,39.889296,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10416642,六道口(地铁站),15号线;昌平线,海淀区,116.352750,40.000014,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10002455,梨园(地铁站),1号线/八通线,通州区,116.668720,39.883677,交通设施服务;地铁站;地铁站,地铁站,地铁站
BV10012561,方庄(地铁站),14号线,丰台区,116.440244,39.865864,交通设施服务;地铁站;地铁站,地铁站,地铁站
