id,name,address,district,lng,lat,type,keyword
B0J1B7LU9R,北京小海棠便利店有限公司(东交民巷30号小区店),东交民巷30-5号,东城区,116.407238,39.901932,购物服务;便民商店/便利店;便民商店/便利店,便利店
B0I2HZ2D1Y,中商惠民便利(王府井店),北京东华金街购物中心北门旁,东城区,116.409647,39.910342,购物服务;便民商店/便利店;便民商店/便利店,便利店
B0HUBACR8Z,优堂便利店24小时,前门大街甲2号(升旗宾馆5号房)(前门地铁站E2北口旁),东城区,116.400130,39.899879,购物服务;购物相关场所;购物相关场所,便利店
B0KAC1QADG,便利蜂(东方新天地店),东长安街1号北京东方新天地F2层,东城区,116.416321,39.909580,购物服务;便民商店/便利店;便民商店/便利店,便利店
B0H01LSR7I,便利蜂(王府井步行街店),王府井大街256号王府井步行街,东城区,116.408892,39.913299,购物服务;便民商店/便利店;便民商店/便利店,便利店
B000A8WELV,7-ELEVEn(民生金融中心店),建国门内大街28号民生金融中心C座B1层L38单元,东城区,116.420193,39.907436,购物服务;便民商店/便利店;7-ELEVEn便利店,便利店
B000A7ZIRD,7-ELEVEn(新怡商务楼店),东兴隆街新怡家园甲3号楼一层,东城区,116.416704,39.897454,购物服务;便民商店/便利店;7-ELEVEn便利店,便利店
B0FFK8LFJ4,便利蜂(崇文门新世界百货1期店),崇文门外大街5号新世界1期L1层,东城区,116.417255,39.899062,购物服务;便民商店/便利店;便民商店/便利店,便利店
B0FFIDVARD,全家便利店(澳门中心店),王府井东街8号澳门中心1F层,东城区,116.413298,39.914559,购物服务;便民商店/便利店;便民商店/便利店,便利店
B0IAX73G9O,京东便利店(前门大街店),前门大街2号(前门地铁站I西南口步行90米),东城区,116.398219,39.898221,购物服务;便民商店/便利店;便民商店/便利店,便利店
B0FFKS87PJ,LAWSON罗森(前门大街店),前门大街116号一层101室,东城区,116.398519,39.892275,购物服务;便民商店/便利店;便民商店/便利店,便利店
B0I0BHFAEV,迪兴天天超市,东华门大街21号,东城区,116.405678,39.915392,购物服务;超级市场;超市,便利店
B0FFL6FOKG,7-ELEVEn(天鼎218文化金融园店),世纪天鼎西侧路与西半壁街交叉口东20米,东城区,116.401286,39.891191,购物服务;便民商店/便利店;7-ELEVEn便利店,便利店
B0L6F7JIN2,物美便利店(粮食店街店),粮食店街25号(珠市口地铁站A西北口步行400米),西城区,116.397730,39.894739,购物服务;便民商店/便利店;便民商店/便利店,便利店
B0J35RY30T,7-ELEVEn(金鱼池店),南桥湾街88号(桥湾地铁站D西南口步行170米),东城区,116.407857,39.891501,购物服务;购物相关场所;购物相关场所,便利店
B0JRVKIBH7,心翔超市,东单北大街74号(东单地铁站F东北口步行480米),东城区,116.418119,39.912807,购物服务;购物相关场所;购物相关场所,便利店
B000AA0PP0,一家店(兴隆都市馨园店),兴隆都市馨园2号楼B40号,东城区,116.414067,39.896626,购物服务;便民商店/便利店;便民商店/便利店,便利店
B0LANRZ6MK,北京文创便利店,南池子大街与普渡寺前巷交叉口西北20米,东城区,116.403014,39.912875,购物服务;便民商店/便利店;便民商店/便利店,便利店
B0FFL1H2IQ,便利蜂(新成文化大厦店),崇文门外大街11号1层11-5-1,东城区,116.418327,39.894195,购物服务;便民商店/便利店;便民商店/便利店,便利店
B0LD7CWMSE,7-ELEVEn(西花市大街店),北京城区西花市大街86号,东城区,116.422643,39.896994,购物服务;便民商店/便利店;便民商店/便利店,便利店
B0FFHROL4Q,果宜客24小时便利店,北京同仁堂王府井中医医院南门西南50米,东城区,116.409219,39.915269,购物服务;综合市场;果品市场,便利店
B000A85PVV,易捷便利店(中国石化崇文门加油站店),庆平胡同22号(北京市东城区丁香小学西北),东城区,116.420752,39.900341,购物服务;便民商店/便利店;便民商店/便利店,便利店
B0K0PUX0W8,京东便利店(王府井步行街店),灯市口地铁站A西北口步行330米,东城区,116.414625,39.916835,购物服务;购物相关场所;购物相关场所,便利店
B0I1VZYZD7,花市奶站(新景家园西区店),西花市大街新景家园底商98号,东城区,116.422079,39.897011,购物服务;便民商店/便利店;便民商店/便利店,便利店
B0IGFUX8YZ,天顺生活超市,粮食店街39号(珠市口地铁站A西北口步行340米),西城区,116.397682,39.894198,购物服务;便民商店/便利店;便民商店/便利店,便利店
