id,name,address,district,lng,lat,type,keyword
B0FFHSRCQZ,北京朝阳合生汇,西大望路甲22号,朝阳区,116.480110,39.894007,购物服务;商场;购物中心,商场
B0FFFFP482,北京荟聚购物中心,欣宁街15号,大兴区,116.326497,39.788104,购物服务;商场;购物中心,商场
B000A80NIV,西单大悦城,西单北大街131号,西城区,116.372960,39.910884,购物服务;商场;购物中心,商场
B000A856LJ,朝阳大悦城,朝阳北路101号,朝阳区,116.519009,39.924544,购物服务;商场;购物中心,商场
B0KAXDG2V0,湾里·王府井WellTown,颐瑞东路66号1号楼,通州区,116.692774,39.859204,购物服务;商场;商场,商场
B0FFFT5A1C,三里屯太古里,三里屯路11、19号院(工人体育场地铁站D口步行240米),朝阳区,116.453990,39.934871,购物服务;商场;普通商场,商场
B000A87M2X,SOLANA蓝色港湾,朝阳公园路6号,朝阳区,116.475944,39.949336,购物服务;商场;购物中心,商场
B0HKH7GI7B,北京超极合生汇,北清路1号院B12号地下LG1-k-272,昌平区,116.291067,40.097069,购物服务;商场;购物中心,商场
B0H6RU92AP,华熙LIVE·五棵松,复兴路69号华熙live,海淀区,116.279621,39.910214,购物服务;商场;普通商场,商场
B000A9NIPV,万达广场(通州店),新华西街58号,通州区,116.640441,39.905320,购物服务;商场;购物中心|购物服务;商场;普通商场,商场
B000A8VSXA,凯德MALL(西直门店),西直门外大街1号,西城区,116.352869,39.941597,购物服务;商场;购物中心,商场
B000A83JJ1,世纪金源购物中心,远大路1号,海淀区,116.288301,39.958603,购物服务;商场;购物中心,商场
B0HB379PU7,北京五棵松万达广场,复兴路69号,海淀区,116.277550,39.913240,购物服务;商场;购物中心,商场
B000A853CF,国贸商城,建国门外大街1号(国贸地铁站出入口旁),朝阳区,116.459288,39.910882,购物服务;商场;购物中心,商场
B0FFG738VX,万达广场(北京丰科店),丰科路1号,丰台区,116.298932,39.824233,购物服务;商场;购物中心,商场
B000A8WE3K,首创奥特莱斯,长阳镇悦盛路6号院,房山区,116.186584,39.763613,购物服务;商场;购物中心,商场
B0FFG9OHFF,八达岭奥莱,陈庄村G6京藏高速s216号,昌平区,116.169923,40.234519,购物服务;商场;购物中心,商场
B000A9R4FE,北京SKP,建国路87号(大望路地铁站F东北口旁),朝阳区,116.478893,39.910106,购物服务;商场;购物中心,商场
B000A8446U,百荣世贸商城,永定门外大街101号,东城区,116.398399,39.860897,购物服务;商场;普通商场,商场
B000A842O2,北京apm,王府井大街138号(地铁金鱼胡同),东城区,116.411923,39.914339,购物服务;商场;普通商场,商场
B0FFF3J47S,北京燕莎奥特莱斯购物中心,东四环南路9号,朝阳区,116.487321,39.877498,购物服务;商场;购物中心,商场
B0I2G5GDPC,西红门新光界,欣雅街16号,大兴区,116.326354,39.784598,购物服务;商场;购物中心,商场
B0FFGLCRAG,赛尔花乡奥莱村,白盆窑南四环西路76号,丰台区,116.324004,39.827593,购物服务;商场;购物中心,商场
B0FFLJ6X9I,龙湖北京丽泽天街,丽泽路300号,丰台区,116.334236,39.866709,购物服务;商场;商场,商场
B0G0K7T9J9,首开通州万象汇,运河东大街51号(东夏园地铁站B东北口旁),通州区,116.734377,39.904541,购物服务;商场;购物中心,商场
B000AA0I5O,王府井喜悦,王府井大街301号(王府井地铁站E1口步行70米),东城区,116.410557,39.909902,购物服务;商场;购物中心,商场
B000A88EG4,三里屯太古里南区,三里屯路19号院地下一层,朝阳区,116.454338,39.934875,购物服务;商场;普通商场,商场
B0FFFQ7N01,龙湖北京长楹天街,常通路1号院,朝阳区,116.599674,39.925037,购物服务;商场;购物中心,商场
B0H6TD635N,北京清河万象汇,清河中街68号,海淀区,116.334435,40.030181,购物服务;商场;购物中心,商场
B0IRRUF3C1,THE BOX 朝外|年轻力中心,朝外大街12号,朝阳区,116.445007,39.922779,购物服务;商场;普通商场,商场
B000A8W0JV,颐堤港,酒仙桥路18号,朝阳区,116.491317,39.969735,购物服务;商场;购物中心,商场
B0IU3MDHZF,海淀大悦城,大牛坊社区四期西北(翠湖南路南),海淀区,116.229357,40.091299,购物服务;商场;购物中心,商场
B0FFG3NBGH,银座和谐广场,万丰路68号院,丰台区,116.297342,39.882318,购物服务;商场;购物中心,商场
B0FFGZR768,龙湖北京大兴天街,永兴路7号院1号楼(生物医药基地地铁站A西北口直达),大兴区,116.320901,39.687444,购物服务;商场;购物中心,商场
B000A8VNOV,龙德广场,立汤路186号,昌平区,116.415538,40.059723,购物服务;商场;购物中心,商场
B000A83LNO,北京东方新天地,东长安街1号,东城区,116.414498,39.909473,购物服务;商场;购物中心,商场
B000A8WAWL,凯德MALL·太阳宫店,太阳宫中路12号,朝阳区,116.447513,39.971325,购物服务;商场;购物中心,商场
B000A84ZCP,王府井奥莱·香江小镇,香江北路28号,朝阳区,116.505252,40.035509,购物服务;商场;购物中心,商场
B000A84154,枫蓝国际购物中心,西直门北大街32号院,海淀区,116.356605,39.952958,购物服务;商场;购物中心,商场
B0HUNABECE,龙湖北京亦庄天街,博兴八路与兴海路交叉口,大兴区,116.492452,39.753035,购物服务;商场;购物中心,商场
B000A868DH,悠唐购物中心,三丰北里2号,朝阳区,116.438951,39.921623,购物服务;商场;购物中心,商场
B0HA7SXKTF,西三旗万象汇,建材城东路33号,海淀区,116.366266,40.061826,购物服务;商场;购物中心,商场
B000A83RWS,新中关购物中心,中关村大街19号,海淀区,116.315277,39.978335,购物服务;商场;购物中心,商场
B000A80P20,北京王府井银泰in88购物中心,王府井大街88号,东城区,116.411812,39.916164,购物服务;商场;购物中心,商场
B0HBO6GWU7,西北旺万象汇,德政路16号院(西北旺地铁站出入口步行110米),海淀区,116.259961,40.049040,购物服务;商场;购物中心,商场
B0FFIMZO01,北京房山熙悦天街,长阳镇长于大街28号院,房山区,116.185436,39.733691,购物服务;商场;购物中心,商场
B000A87APX,喜隆多XIRONDO PLAZA,金顶街街道阜石路300号,石景山区,116.171766,39.922994,购物服务;商场;购物中心,商场
B0FFF65W7Y,中粮·祥云小镇,后沙峪镇安泰大街9号,顺义区,116.537301,40.088227,购物服务;商场;购物中心,商场
B000A87QIT,北投新奥购物中心,湖景东路9号,朝阳区,116.394147,40.000076,购物服务;商场;购物中心,商场
B0FFG6X98O,万达广场(北京槐房店),槐房南路6号,丰台区,116.367868,39.814085,购物服务;商场;购物中心,商场
B000A7CTMA,北京市百货大楼,王府井大街253号,东城区,116.410131,39.913779,购物服务;商场;购物中心,商场
B000A8UM79,汉光百货,西单北大街176号华南大厦,西城区,116.375191,39.909408,购物服务;商场;普通商场,商场
B0FFIL7S89,万达广场(西铁营店),西铁营中路1号,丰台区,116.355851,39.860936,购物服务;商场;购物中心|购物服务;便民商店/便利店;便民商店/便利店|生活服务;彩票彩券销售点;彩票彩券销售点,商场
B0FFFAI76D,北京华联BHG Mall(万柳店),巴沟路2号(巴沟地铁站出入口旁),海淀区,116.295230,39.973062,购物服务;商场;购物中心,商场
B0FFIIGLAD,京西大悦城,阜石路173号院1号楼(苹果园地铁站J口步行100米),石景山区,116.183412,39.925501,购物服务;商场;购物中心,商场
B000A87LZN,来福士,东直门南大街1-1,东城区,116.432499,39.940133,购物服务;商场;购物中心,商场
B0FFK8S8BC,万达广场(北京东坝店),东坝中路1号,朝阳区,116.548580,39.962015,购物服务;商场;购物中心,商场
B000A85J2J,北京中关村领展广场,丹棱街甲1号(海淀黄庄地铁站A2西北口步行200米),海淀区,116.314310,39.979351,购物服务;商场;购物中心|购物服务;商场;普通商场,商场
B000A80D2Q,五道口购物中心,成府路28号,海淀区,116.339336,39.991922,购物服务;商场;购物中心,商场
B000A8VT15,凯德MALL(望京店),广顺北大街33号,朝阳区,116.468485,39.992945,购物服务;商场;购物中心,商场
B0HGUSF1CO,北京望京万象汇,望京东湖街道广顺北大街16号,朝阳区,116.468918,40.010764,购物服务;商场;普通商场,商场
B0FFJOOHAR,印象城(翠微店),翠微路12号,海淀区,116.303401,39.912477,购物服务;商场;普通商场,商场
B000ABBXKM,万达广场(北京石景山店),石景山路乙18号,石景山区,116.225303,39.906431,购物服务;商场;购物中心,商场
B0LG7ZYJ3S,中关村大融城(西区),中关村大街15-11号(中关村地铁站D西南口步行430米),海淀区,116.312173,39.981533,购物服务;商场;商场,商场
B000A7HIX8,北京富力广场,东三环中路65号,朝阳区,116.460622,39.895453,购物服务;商场;购物中心,商场
B0FFL7KEJZ,龙湖北京房山天街,政通南路2号院1号楼,房山区,116.140617,39.745530,购物服务;商场;购物中心,商场
B0HBLCB9SO,惠多港购物中心,黄厂路(恒大御景湾西南侧约50米),朝阳区,116.550713,39.850318,购物服务;商场;购物中心,商场
B0FFFDGGFC,凯德MALL·大峡谷,马家堡街道南三环西路16号,丰台区,116.366821,39.854569,购物服务;商场;购物中心,商场
