shop_id,name,address,district,lng,lat,rating,review_count,avg_price,price_level,packages,package_count,opening_hours,phone,tags,source,crawl_time
l8pkxPCfltPtqfaC,M3商务KTV·夜总会,,昌平区,116.229154,40.22962,4.7,254.0,375.0,,"[{""title"": ""仅售2500元，价值3000元【海航霄云壹号高端场】请提前致电商家预约"", ""url"": ""http://t.dianping.com/deal/1497186883"", ""deal_id"": ""1497186883""}, {""title"": ""套餐（评论提及）"", ""price_hint"": ""195"", ""mentions"": ""1"", ""source"": ""review_text""}, {""title"": ""团购（评论提及）"", ""price_hint"": ""195"", ""mentions"": ""1"", ""source"": ""review_text""}, {""title"": ""欢唱时长（评论提及）"", ""price_hint"": ""195"", ""mentions"": ""3"", ""source"": ""review_text""}, {""title"": ""酒水相关（评论提及）"", ""price_hint"": ""195"", ""mentions"": ""11"", ""source"": ""review_text""}, {""title"": ""包厢相关（评论提及）"", ""price_hint"": ""195"", ""mentions"": ""14"", ""source"": ""review_text""}]",6.0,,,"{""category"": ""娱乐会所"", ""region"": ""亮马桥/三元桥"", ""shop_region"": ""北京 / 亮马桥/三元桥 / 娱乐会所"", ""amap_best_name"": ""嘉乐迪(夜总会KTV)"", ""amap_best_score"": ""0.4000"", ""amap_min_score_applied"": ""0.00"", ""review_rows"": ""100""}",search+review_api+offline_enriched,2026-02-14 23:44:33
l1r5hEjU3ox9sJnD,温莎KTV(国贸店),建国门外大街甲6号华熙国际中心C座B1层,朝阳区,116.456884,39.907086,4.4,16540.0,92.0,,"[{""title"": ""仅售298元，价值1268元【新春欢唱预售】啤酒1打或鸡尾酒1桶｜加上包房K歌"", ""url"": ""http://t.dianping.com/deal/1601021641"", ""deal_id"": ""1601021641""}, {""title"": ""套餐（评论提及）"", ""price_hint"": ""600,168,80"", ""mentions"": ""16"", ""source"": ""review_text""}, {""title"": ""团购（评论提及）"", ""price_hint"": ""600,168,80"", ""mentions"": ""11"", ""source"": ""review_text""}, {""title"": ""欢唱时长（评论提及）"", ""price_hint"": ""600,168,80"", ""mentions"": ""15"", ""source"": ""review_text""}, {""title"": ""酒水相关（评论提及）"", ""price_hint"": ""600,168,80"", ""mentions"": ""6"", ""source"": ""review_text""}, {""title"": ""包厢相关（评论提及）"", ""price_hint"": ""600,168,80"", ""mentions"": ""6"", ""source"": ""review_text""}]",6.0,,,"{""category"": ""量贩式KTV"", ""region"": ""建外大街"", ""shop_region"": ""北京 / 建外大街 / 量贩式KTV"", ""amap_best_name"": ""温莎KTV(北京国贸店)"", ""amap_best_score"": ""1.0000"", ""amap_min_score_applied"": ""0.00"", ""review_rows"": ""100""}",search+review_api+offline_enriched,2026-02-14 23:44:34
GazyRdGHt6xEpzcY,魅KTV·Al辅唱(工体店),北三环东路33号苏宁易购西侧4层,东城区,116.409872,39.969401,4.1,2624.0,77.0,,"[{""title"": ""仅售10元，价值30元【把我唱给你听】AI让你唱得跟歌星一样-MP3一首"", ""url"": ""http://t.dianping.com/deal/1584707116"", ""deal_id"": ""1584707116""}, {""title"": ""套餐（评论提及）"", ""price_hint"": ""20"", ""mentions"": ""3"", ""source"": ""review_text""}, {""title"": ""团购（评论提及）"", ""price_hint"": ""20"", ""mentions"": ""5"", ""source"": ""review_text""}, {""title"": ""欢唱时长（评论提及）"", ""price_hint"": ""20"", ""mentions"": ""18"", ""source"": ""review_text""}, {""title"": ""酒水相关（评论提及）"", ""price_hint"": ""20"", ""mentions"": ""3"", ""source"": ""review_text""}, {""title"": ""包厢相关（评论提及）"", ""price_hint"": ""20"", ""mentions"": ""9"", ""source"": ""review_text""}]",6.0,,,"{""category"": ""量贩式KTV"", ""region"": ""三里屯/工体"", ""shop_region"": ""北京 / 三里屯/工体 / 量贩式KTV"", ""amap_best_name"": ""魅KTV·AI辅唱(安贞桥店)"", ""amap_best_score"": ""0.7619"", ""amap_min_score_applied"": ""0.00"", ""review_rows"": ""100""}",search+review_api+offline_enriched,2026-02-14 23:44:34
Hat7RgQzr7zwvDbJ,纯K(国贸店),建国门外大街1号国贸商城3期北区裙楼四层,朝阳区,116.460797,39.911343,4.8,5284.0,141.0,,"[{""title"": ""套餐（评论提及）"", ""price_hint"": ""88"", ""mentions"": ""10"", ""source"": ""review_text""}, {""title"": ""团购（评论提及）"", ""price_hint"": ""88"", ""mentions"": ""4"", ""source"": ""review_text""}, {""title"": ""欢唱时长（评论提及）"", ""price_hint"": ""88"", ""mentions"": ""13"", ""source"": ""review_text""}, {""title"": ""酒水相关（评论提及）"", ""price_hint"": ""88"", ""mentions"": ""3"", ""source"": ""review_text""}, {""title"": ""包厢相关（评论提及）"", ""price_hint"": ""88"", ""mentions"": ""13"", ""source"": ""review_text""}]",5.0,,,"{""category"": ""量贩式KTV"", ""region"": ""国贸/建外"", ""shop_region"": ""北京 / 国贸/建外 / 量贩式KTV"", ""amap_best_name"": ""纯K(国贸店)"", ""amap_best_score"": ""1.0000"", ""amap_min_score_applied"": ""0.00"", ""review_rows"": ""100""}",search+review_api+offline_enriched,2026-02-14 23:44:35
G8mVv5xymHvtmPos,魅KTV(北京朝阳大悦城店),朝阳北路雅成一里19号世丰国际大厦B1层,朝阳区,116.52163,39.924023,4.1,2361.0,77.0,,"[{""title"": ""仅售555元，价值720元「狂欢价」活动专享|不含房费-百威小红瓶啤酒24瓶+小吃"", ""url"": ""http://t.dianping.com/deal/1188205259"", ""deal_id"": ""1188205259""}, {""title"": ""套餐（评论提及）"", ""price_hint"": """", ""mentions"": ""8"", ""source"": ""review_text""}, {""title"": ""团购（评论提及）"", ""price_hint"": """", ""mentions"": ""6"", ""source"": ""review_text""}, {""title"": ""欢唱时长（评论提及）"", ""price_hint"": """", ""mentions"": ""11"", ""source"": ""review_text""}, {""title"": ""酒水相关（评论提及）"", ""price_hint"": """", ""mentions"": ""8"", ""source"": ""review_text""}, {""title"": ""包厢相关（评论提及）"", ""price_hint"": """", ""mentions"": ""11"", ""source"": ""review_text""}]",6.0,,,"{""category"": ""量贩式KTV"", ""region"": ""青年路"", ""shop_region"": ""北京 / 青年路 / 量贩式KTV"", ""amap_best_name"": ""魅KTV(朝阳大悦城店)"", ""amap_best_score"": ""1.0000"", ""amap_min_score_applied"": ""0.00"", ""review_rows"": ""100""}",search+review_api+offline_enriched,2026-02-14 23:44:35
H7D7OtqGlID7k8Wt,星聚会KTV X party(THE BOX年轻力店),北京城区朝外大街12号THEBOX朝外年轻力中心3层01室,朝阳区,116.445099,39.922966,4.8,1549.0,78.0,,"[{""title"": ""仅售128元，价值365元【北京年轻力专享】阳光档| 软饮/美食类欢唱套餐"", ""url"": ""http://t.dianping.com/deal/963257056"", ""deal_id"": ""963257056""}, {""title"": ""套餐（评论提及）"", ""price_hint"": ""66"", ""mentions"": ""4"", ""source"": ""review_text""}, {""title"": ""团购（评论提及）"", ""price_hint"": ""66"", ""mentions"": ""6"", ""source"": ""review_text""}, {""title"": ""欢唱时长（评论提及）"", ""price_hint"": ""66"", ""mentions"": ""13"", ""source"": ""review_text""}, {""title"": ""酒水相关（评论提及）"", ""price_hint"": ""66"", ""mentions"": ""2"", ""source"": ""review_text""}, {""title"": ""包厢相关（评论提及）"", ""price_hint"": ""66"", ""mentions"": ""14"", ""source"": ""review_text""}]",6.0,,,"{""category"": ""量贩式KTV"", ""region"": ""朝外大街"", ""shop_region"": ""北京 / 朝外大街 / 量贩式KTV"", ""amap_best_name"": ""星聚会KTV(北京THE BOX年轻力店)"", ""amap_best_score"": ""0.8333"", ""amap_min_score_applied"": ""0.00"", ""review_rows"": ""100""}",search+review_api+offline_enriched,2026-02-14 23:44:36
k55CTXmrQdpFgFaf,酷秀KTV(国贸店),建国路93号院万达广场A座新世界百货3层,朝阳区,116.472707,39.909427,4.6,2223.0,81.0,,"[{""title"": ""仅售68元，价值148元【新年爆款王】3小时饮品欢唱（提前一天预约）"", ""url"": ""http://t.dianping.com/deal/1084387995"", ""deal_id"": ""1084387995""}, {""title"": ""套餐（评论提及）"", ""price_hint"": ""168"", ""mentions"": ""3"", ""source"": ""review_text""}, {""title"": ""团购（评论提及）"", ""price_hint"": ""168"", ""mentions"": ""3"", ""source"": ""review_text""}, {""title"": ""欢唱时长（评论提及）"", ""price_hint"": ""168"", ""mentions"": ""10"", ""source"": ""review_text""}, {""title"": ""酒水相关（评论提及）"", ""price_hint"": ""168"", ""mentions"": ""6"", ""source"": ""review_text""}, {""title"": ""包厢相关（评论提及）"", ""price_hint"": ""168"", ""mentions"": ""14"", ""source"": ""review_text""}]",6.0,,,"{""category"": ""量贩式KTV"", ""region"": ""大望路"", ""shop_region"": ""北京 / 大望路 / 量贩式KTV"", ""amap_best_name"": ""酷秀KTV(国贸店)"", ""amap_best_score"": ""1.0000"", ""amap_min_score_applied"": ""0.00"", ""review_rows"": ""100""}",search+review_api+offline_enriched,2026-02-14 23:44:36
l3St2hh7uuUHubVh,M,北京城区工人体育场北路8号院1号楼3层,朝阳区,116.452937,39.933128,4.1,1527.0,87.0,,"[{""title"": ""仅售1940元，价值2000元代金券"", ""url"": ""http://t.dianping.com/deal/1519340889"", ""deal_id"": ""1519340889""}, {""title"": ""套餐（评论提及）"", ""price_hint"": """", ""mentions"": ""4"", ""source"": ""review_text""}, {""title"": ""团购（评论提及）"", ""price_hint"": """", ""mentions"": ""7"", ""source"": ""review_text""}, {""title"": ""欢唱时长（评论提及）"", ""price_hint"": """", ""mentions"": ""12"", ""source"": ""review_text""}, {""title"": ""酒水相关（评论提及）"", ""price_hint"": """", ""mentions"": ""4"", ""source"": ""review_text""}, {""title"": ""包厢相关（评论提及）"", ""price_hint"": """", ""mentions"": ""11"", ""source"": ""review_text""}]",6.0,,,"{""category"": ""量贩式KTV"", ""region"": ""三里屯/工体"", ""shop_region"": ""北京 / 三里屯/工体 / 量贩式KTV"", ""amap_best_name"": ""METAK·元宇宙KTV"", ""amap_best_score"": ""0.3022"", ""amap_min_score_applied"": ""0.00"", ""review_rows"": ""100""}",search+review_api+offline_enriched,2026-02-14 23:44:36
G9DMBb2vMj88GKVI,魅KTV·AI辅唱(世贸天阶店),光华路9号天阶大厦五楼,朝阳区,116.453102,39.916061,4.3,1093.0,71.0,,"[{""title"": ""仅售25元，价值80元【把我唱给你听】AI让你唱得跟歌星一样-MP3四首"", ""url"": ""http://t.dianping.com/deal/1584865970"", ""deal_id"": ""1584865970""}, {""title"": ""套餐（评论提及）"", ""price_hint"": ""60"", ""mentions"": ""12"", ""source"": ""review_text""}, {""title"": ""团购（评论提及）"", ""price_hint"": ""60"", ""mentions"": ""5"", ""source"": ""review_text""}, {""title"": ""欢唱时长（评论提及）"", ""price_hint"": ""60"", ""mentions"": ""10"", ""source"": ""review_text""}, {""title"": ""酒水相关（评论提及）"", ""price_hint"": ""60"", ""mentions"": ""6"", ""source"": ""review_text""}, {""title"": ""包厢相关（评论提及）"", ""price_hint"": ""60"", ""mentions"": ""15"", ""source"": ""review_text""}]",6.0,,,"{""category"": ""量贩式KTV"", ""region"": ""朝外大街"", ""shop_region"": ""北京 / 朝外大街 / 量贩式KTV"", ""amap_best_name"": ""魅KTV(北京朝阳世贸天阶店)"", ""amap_best_score"": ""0.7273"", ""amap_min_score_applied"": ""0.00"", ""review_rows"": ""100""}",search+review_api+offline_enriched,2026-02-14 23:44:37
G1rzvooK08gdDYYF,魅KTV·AI辅唱(劲松店),北三环东路33号苏宁易购西侧4层,东城区,116.409872,39.969401,4.1,2738.0,,,"[{""title"": ""套餐（评论提及）"", ""price_hint"": ""28"", ""mentions"": ""7"", ""source"": ""review_text""}, {""title"": ""团购（评论提及）"", ""price_hint"": ""28"", ""mentions"": ""5"", ""source"": ""review_text""}, {""title"": ""欢唱时长（评论提及）"", ""price_hint"": ""28"", ""mentions"": ""18"", ""source"": ""review_text""}, {""title"": ""酒水相关（评论提及）"", ""price_hint"": ""28"", ""mentions"": ""8"", ""source"": ""review_text""}, {""title"": ""包厢相关（评论提及）"", ""price_hint"": ""28"", ""mentions"": ""3"", ""source"": ""review_text""}]",5.0,,,"{""category"": """", ""region"": """", ""shop_region"": ""北京 / 劲松/潘家园 / 量贩式KTV"", ""amap_best_name"": ""魅KTV·AI辅唱(安贞桥店)"", ""amap_best_score"": ""0.7619"", ""amap_min_score_applied"": ""0.00"", ""review_rows"": ""100""}",search+review_api+offline_enriched,2026-02-14 23:44:37
