shop_id,lng,lat,district,local_i,p_value,cluster
l8pkxPCfltPtqfaC,116.229154,40.22962,昌平区,-0.00793444269233002,0.96,NotSig
l1r5hEjU3ox9sJnD,116.456884,39.907086,朝阳区,1.1488047844824103,0.02,HH
GazyRdGHt6xEpzcY,116.409872,39.969401,东城区,0.5979587455947035,0.055,NotSig
Hat7RgQzr7zwvDbJ,116.460797,39.911343,朝阳区,0.700161104672839,0.05,NotSig
G8mVv5xymHvtmPos,116.52163,39.924023,朝阳区,0.4926956821691276,0.115,NotSig
H7D7OtqGlID7k8Wt,116.445099,39.922966,朝阳区,0.42333908441675094,0.15,NotSig
k55CTXmrQdpFgFaf,116.472707,39.909427,朝阳区,-0.5990569792842435,0.065,NotSig
l3St2hh7uuUHubVh,116.452937,39.933128,朝阳区,-0.0005170140973240169,1.0,NotSig
G9DMBb2vMj88GKVI,116.453102,39.916061,朝阳区,0.39611026903462004,0.165,NotSig
G1rzvooK08gdDYYF,116.409872,39.969401,东城区,0.6080991584987864,0.09,NotSig
H3vkvDaQ5ztAr6yX,116.339566,39.991506,海淀区,-0.2940173505424498,0.29,NotSig
H4ARwVEo16r44RON,116.490263,40.001221,朝阳区,-0.0770318015670044,0.66,NotSig
G9hPKXtRriVP7WT5,116.52163,39.924023,朝阳区,0.24519920871417125,0.25,NotSig
k6j1to9YNyvu2Cfv,116.491414,39.899479,朝阳区,-0.824688909877536,0.035,HL
FWFpZpVUZ55SBok7,116.451876,39.917594,朝阳区,0.9726516410349703,0.03,HH
k5DXufIfqed8a3hs,116.482051,39.911138,朝阳区,-0.10474988080610166,0.62,NotSig
H5l2lR3tTA957mp1,116.658788,39.917713,通州区,0.1977705356438032,0.44,NotSig
k2HtsMhTCfbzMZjr,116.478129,39.89427,朝阳区,-0.14467225432308387,0.51,NotSig
G2Dn6BZ2D2fmWfxg,116.339725,39.791625,大兴区,-0.0418896234744963,0.77,NotSig
k4d5PIe8n4lSJg0Z,116.409872,39.969401,东城区,0.5534313088158561,0.095,NotSig
F68D5X74NOoNE76p,116.313926,40.107438,昌平区,0.06440551467320135,0.68,NotSig
k21cC98m2QnutplF,116.276441,39.910625,海淀区,-0.2940081565513191,0.295,NotSig
l1sMCyYQoLc0tl5n,116.452937,39.933128,朝阳区,-0.00041683165170470067,0.995,NotSig
kaiDzhcGlRNlLHKk,116.27648,39.912173,海淀区,-0.17266691011823335,0.51,NotSig
H7WN6kHkkgWj9v33,116.491414,39.899479,朝阳区,0.36790958675935775,0.17,NotSig
G3LDd5VypdWeF7TA,116.409872,39.969401,东城区,0.4090500506881853,0.175,NotSig
k5I4bvhlKB8vRfmV,116.320791,39.684834,大兴区,0.03555593875645997,0.805,NotSig
l505nlVX6dxZ2UI6,116.069316,39.651298,房山区,0.673037409717682,0.07,NotSig
H5jMFmXIVrThEgCA,116.407034,39.995784,朝阳区,0.46392827445321005,0.15,NotSig
l6uK9BeMEkF2gzIJ,116.409872,39.969401,东城区,-0.06936942856969239,0.69,NotSig
k2nxuQaSLI0g6Jyz,116.374545,39.911608,西城区,-1.3083992756539642,0.025,HL
H6TjKw9duFE83Mlb,116.314805,39.979257,海淀区,-0.5563232454430017,0.095,NotSig
G5ILCZDKVh86FO68,116.371785,39.888665,西城区,-0.2776561304020863,0.32,NotSig
H2KGW4ziZgX53IM4,116.312655,39.983123,海淀区,-0.3813706784307516,0.175,NotSig
l4VtRYb0uqXzvy9Z,116.419054,39.896804,东城区,-0.038017189688678565,0.815,NotSig
l9Si4ZJW4nJu1jgr,116.409872,39.969401,东城区,0.7162911688224142,0.065,NotSig
k7ombEX594NQiQui,116.35493,39.860636,丰台区,-0.05502240266455474,0.735,NotSig
k9hhpXpJvsf4ZUO5,116.452937,39.933128,朝阳区,-0.0005030516787277563,0.995,NotSig
kaVRNodAKS0mTBMm,116.456435,39.93264,朝阳区,-0.013790620868470148,0.875,NotSig
l6ti0KJ4s6moxkjt,116.477132,39.894205,朝阳区,0.172329798021138,0.425,NotSig
G36OH4wsyoaE1jFD,116.446744,39.971322,朝阳区,0.5402493037375433,0.14,NotSig
k67LqLpolxPFd7n1,116.225559,39.905822,石景山区,0.13617081326501274,0.51,NotSig
H7APipQo0okihrRi,116.432852,40.04661,朝阳区,0.1073786137450398,0.6,NotSig
l7CbHQ57YjcAA5cm,116.409872,39.969401,东城区,-0.40004310033090806,0.195,NotSig
jS3n2eKvk0uMxvFF,116.307857,39.909334,海淀区,-0.01943928500961479,0.83,NotSig
G2nB5wXkb6eLSMaR,116.318605,39.687661,大兴区,0.03504986209939044,0.865,NotSig
H6rNa4uT7JynwHFF,116.303043,39.9083,海淀区,0.11596927960118344,0.51,NotSig
k8UnDKHHwkNPhx7U,116.438772,40.042799,朝阳区,0.2470625099069182,0.35,NotSig
H85WzFMnXLD3T509,116.353103,39.736389,大兴区,-0.0691445532987359,0.675,NotSig
k4YAN4Rpi04hXFoS,116.371785,39.888665,西城区,-0.2060437517979405,0.34,NotSig
G9AumG16j55nDlAh,116.452937,39.933128,朝阳区,-0.0005302725218603048,0.995,NotSig
G8W4qNj0yZeJo2lJ,116.452937,39.933128,朝阳区,-0.0005307630689941179,0.99,NotSig
