uid,name,address,city,crawl_time
自动售货机(永利国际购物中心店),自动售货机(永利国际购物中心店),"北京市朝阳区工体北路21号永利国际中心B1"">北京市朝阳区工体北路21号永利国际中心B1",北京,2026-02-04 20:42:50
自动售货机(北京首都国际机场3号航站楼C区店),自动售货机(北京首都国际机场3号航站楼C区店),"北京市朝阳区东坝南二街"">北京市朝阳区东坝南二街",北京,2026-02-04 20:42:50
自动售货机(北京首都国际机场二号航站楼2号停车楼店),自动售货机(北京首都国际机场二号航站楼2号停车楼店),"北京市顺义区北京首都国际机场3号航站楼C区F3"">北京市顺义区北京首都国际机场3号航站楼C区F3",北京,2026-02-04 20:42:50
自动售货机(国泰百货店),自动售货机(国泰百货店),"北京市朝阳区来广营北路辅路"">北京市朝阳区来广营北路辅路",北京,2026-02-04 20:42:50
自动售货机(北京首都国际机场三号航站楼D区店),自动售货机(北京首都国际机场三号航站楼D区店),"北京市海淀区北三环西路38号北京双安商场F6"">北京市海淀区北三环西路38号北京双安商场F6",北京,2026-02-04 20:42:50
自动售货机(中国科学技术馆店),自动售货机(中国科学技术馆店),"北京市顺义区北京首都国际机场3号航站楼C区F3"">北京市顺义区北京首都国际机场3号航站楼C区F3",北京,2026-02-04 20:42:53
自动售货机(西单大悦城店),自动售货机(西单大悦城店),"北京市海淀区北三环西路38号北京双安商场F6"">北京市海淀区北三环西路38号北京双安商场F6",北京,2026-02-04 20:42:53
自动售货机(国贸商城3期B座店),自动售货机(国贸商城3期B座店),"北京市朝阳区首都机场南路北京首都国际机场2号停车楼F1"">北京市朝阳区首都机场南路北京首都国际机场2号停车楼F1",北京,2026-02-04 20:42:53
自动售货机(北京首都国际机场T2航站楼店),自动售货机(北京首都国际机场T2航站楼店),"北京市朝阳区科荟路33号奥林匹克森林公园内"">北京市朝阳区科荟路33号奥林匹克森林公园内",北京,2026-02-04 20:42:53
自动售货机(北京首都国际机场T1航站楼店),自动售货机(北京首都国际机场T1航站楼店),"北京市顺义区北京首都国际机场"">北京市顺义区北京首都国际机场",北京,2026-02-04 20:42:53
自动售货机(北京首都国际机场三号航站楼E区店),自动售货机(北京首都国际机场三号航站楼E区店),"北京市顺义区北京首都国际机场"">北京市顺义区北京首都国际机场",北京,2026-02-04 20:42:53
自动售货机(金地中心店),自动售货机(金地中心店),"北京市顺义区北京首都国际机场"">北京市顺义区北京首都国际机场",北京,2026-02-04 20:42:53
自动售货机(华堂商场店),自动售货机(华堂商场店),"北京市顺义区北京首都国际机场"">北京市顺义区北京首都国际机场",北京,2026-02-04 20:42:53
自动售货机(新世界百货店),自动售货机(新世界百货店),"北京市顺义区北京首都国际机场"">北京市顺义区北京首都国际机场",北京,2026-02-04 20:42:53
自动售货机(小营北路店),自动售货机(小营北路店),"北京市顺义区北京首都国际机场"">北京市顺义区北京首都国际机场",北京,2026-02-04 20:42:53
自动售货机(自如寓店),自动售货机(自如寓店),"北京市顺义区北京首都国际机场"">北京市顺义区北京首都国际机场",北京,2026-02-04 20:42:53
自动售货机(左家庄路店),自动售货机(左家庄路店),"北京市顺义区北京首都国际机场"">北京市顺义区北京首都国际机场",北京,2026-02-04 20:42:53
自动售货机(裕丰路16号院店),自动售货机(裕丰路16号院店),"北京市顺义区北京首都国际机场"">北京市顺义区北京首都国际机场",北京,2026-02-04 20:42:53
自动售货机(动物园店),自动售货机(动物园店),"北京市顺义区北京首都国际机场"">北京市顺义区北京首都国际机场",北京,2026-02-04 20:42:53
