uid,name,address,keyword,city,crawl_time
北京自动售货机 - 百度地图,北京自动售货机 - 百度地图,,自动售货机,北京,2026-02-04 20:56:34
自动售货机(永利国际购物中心店),自动售货机(永利国际购物中心店),,自动售货机,北京,2026-02-04 20:56:34
自动售货机,自动售货机,,自动售货机,北京,2026-02-04 20:56:34
自动售货机(北京首都国际机场3号航站楼C区店),自动售货机(北京首都国际机场3号航站楼C区店),,自动售货机,北京,2026-02-04 20:56:34
北京双安商场-自动售货机,北京双安商场-自动售货机,,自动售货机,北京,2026-02-04 20:56:34
北京市海淀区北三环西路38号北京双安商场F6,北京市海淀区北三环西路38号北京双安商场F6,,自动售货机,北京,2026-02-04 20:56:34
自动售货机(北京首都国际机场二号航站楼2号停车楼店),自动售货机(北京首都国际机场二号航站楼2号停车楼店),,自动售货机,北京,2026-02-04 20:56:34
自动售货机(国泰百货店),自动售货机(国泰百货店),,自动售货机,北京,2026-02-04 20:56:34
自动售货机(北京首都国际机场三号航站楼D区店),自动售货机(北京首都国际机场三号航站楼D区店),,自动售货机,北京,2026-02-04 20:56:34
北京便利店 - 百度地图,北京便利店 - 百度地图,,便利店,北京,2026-02-04 20:56:52
北京 所有超市 默认排序,北京 所有超市 默认排序,,便利店,北京,2026-02-04 20:56:52
北京优优乐购便利店,北京优优乐购便利店,,便利店,北京,2026-02-04 20:56:52
罗森便利店(北京广播大厦酒店店),罗森便利店(北京广播大厦酒店店),,便利店,北京,2026-02-04 20:56:52
北京鑫瀚鹏便利店,北京鑫瀚鹏便利店,,便利店,北京,2026-02-04 20:56:52
物美便利店(北京科技大学店),物美便利店(北京科技大学店),,便利店,北京,2026-02-04 20:56:52
北京清源家乐便利店,北京清源家乐便利店,,便利店,北京,2026-02-04 20:56:52
罗森便利店(北京怀柔雁栖人才社区店),罗森便利店(北京怀柔雁栖人才社区店),,便利店,北京,2026-02-04 20:56:52
望京街便利店,望京街便利店,,便利店,北京,2026-02-04 20:56:52
北京金润捷便利店(马家堡店),北京金润捷便利店(马家堡店),,便利店,北京,2026-02-04 20:56:52
物美便利店(北京西站一店),物美便利店(北京西站一店),,便利店,北京,2026-02-04 20:56:52
罗森便利店(北京环球贸易中心店),罗森便利店(北京环球贸易中心店),,便利店,北京,2026-02-04 20:56:52
北京自动售货机 北京,北京自动售货机 北京,,便利店,北京,2026-02-04 20:56:52
北京自动售货机,北京自动售货机,,便利店,北京,2026-02-04 20:56:52
无人售货机,无人售货机,,无人售货,北京,2026-02-04 20:57:10
北京便利店 北京,北京便利店 北京,,无人售货,北京,2026-02-04 20:57:10
北京便利店,北京便利店,,无人售货,北京,2026-02-04 20:57:10
北京物美便利店 - 百度地图,北京物美便利店 - 百度地图,,物美便利店,北京,2026-02-04 20:57:28
物美超市(航天大学店),物美超市(航天大学店),,物美便利店,北京,2026-02-04 20:57:28
物美(京北大世界店),物美(京北大世界店),,物美便利店,北京,2026-02-04 20:57:28
物美便利店(菜园南街店),物美便利店(菜园南街店),,物美便利店,北京,2026-02-04 20:57:28
物美便利(政法大学店),物美便利(政法大学店),,物美便利店,北京,2026-02-04 20:57:28
物美(北七家店),物美(北七家店),,物美便利店,北京,2026-02-04 20:57:28
定泗路物美超市三楼,定泗路物美超市三楼,,物美便利店,北京,2026-02-04 20:57:28
