id,name,address,district,lng,lat,type,tel,source,crawl_time
B0JAFMMJ9R,魅KTV(西单店),西单北大街109号三层(灵境胡同地铁站D西南口步行280米),西城区,116.373090,39.913888,体育休闲服务;娱乐场所;KTV,,高德地图,2026-02-06 09:34:50
B0FFIWODFD,唱吧麦颂量贩KTV(西单店),西单北大街130号华威潮铺街5层,西城区,116.374545,39.911608,体育休闲服务;娱乐场所;KTV,,高德地图,2026-02-06 09:34:50
B0KAJR6OX4,麦乐迪KTV(月坛店),月坛北街2号地下一层及东配楼二层局部,西城区,116.354390,39.918147,体育休闲服务;娱乐场所;KTV|餐饮服务;中餐厅;中餐厅,,高德地图,2026-02-06 09:34:50
B000A8UPU2,金麦圣量贩KTV,广安门内大街6枫桦豪景(菜市口地铁站D西南口步行270米),西城区,116.371785,39.888665,体育休闲服务;娱乐场所;KTV,,高德地图,2026-02-06 09:34:50
B0LDO713CF,MICUP KTV(肥桃生活广场店),首都体育馆南路9号 肥桃生活广场负一层,海淀区,116.324611,39.934159,体育休闲服务;娱乐场所;KTV,,高德地图,2026-02-06 09:34:50
B0L3H79YJY,咏歌汇量贩式KTV(北京西站店),美里食光商场(北京西站地铁站1东北入口步行370米),海淀区,116.322825,39.897475,体育休闲服务;娱乐场所;KTV,,高德地图,2026-02-06 09:34:50
B000A9KYA6,魅KTV(王府井步行街店),王府井大街253号五层001,东城区,116.410471,39.914313,体育休闲服务;娱乐场所;KTV,,高德地图,2026-02-06 09:34:50
B0H251P498,M-ONE KTV(合景摩方购物中心店),崇文门外大街1号楼合景魔方购物中心4层,东城区,116.417825,39.899656,体育休闲服务;娱乐场所;KTV,,高德地图,2026-02-06 09:34:50
B0JK3RAH8P,麦K量贩式KTV,马连道东街15号院一号楼商业B1层,西城区,116.331851,39.884419,体育休闲服务;娱乐场所;KTV,,高德地图,2026-02-06 09:34:50
B000A83ZNC,温莎KTV(花园店),北京城区西三环北路87号国际财经中心B1层,海淀区,116.309539,39.934921,体育休闲服务;娱乐场所;KTV,,高德地图,2026-02-06 09:34:50
