id,name,address,district,lng,lat,type,tel,source,crawl_time,brand,tier,rating,review_count,avg_price,price_level,packages,package_count,estimated
B0JAFMMJ9R,魅KTV(西单店),西单北大街109号三层(灵境胡同地铁站D西南口步行280米),西城区,116.373090,39.913888,体育休闲服务;娱乐场所;KTV,,高德地图,2026-02-06 09:34:50,魅KTV,中高端,4.0,1272,144,高,"[{""name"": ""标准欢唱"", ""hours"": 4, ""people"": 2, ""price"": 921, ""original_price"": 1152, ""per_person"": 460}, {""name"": ""聚会套餐"", ""hours"": 4, ""people"": 6, ""price"": 2592, ""original_price"": 3456, ""per_person"": 432}, {""name"": ""周末特惠"", ""hours"": 5, ""people"": 4, ""price"": 2015, ""original_price"": 2880, ""per_person"": 503}]",3,TRUE
B0FFIWODFD,唱吧麦颂量贩KTV(西单店),西单北大街130号华威潮铺街5层,西城区,116.374545,39.911608,体育休闲服务;娱乐场所;KTV,,高德地图,2026-02-06 09:34:50,唱吧麦颂,中端,4.1,817,100,中,"[{""name"": ""超值欢唱"", ""hours"": 4, ""people"": 2, ""price"": 600, ""original_price"": 800, ""per_person"": 300}, {""name"": ""学生优惠"", ""hours"": 3, ""people"": 2, ""price"": 360, ""original_price"": 600, ""per_person"": 180}, {""name"": ""团购特惠"", ""hours"": 4, ""people"": 4, ""price"": 1120, ""original_price"": 1600, ""per_person"": 280}]",3,TRUE
B0KAJR6OX4,麦乐迪KTV(月坛店),月坛北街2号地下一层及东配楼二层局部,西城区,116.354390,39.918147,体育休闲服务;娱乐场所;KTV|餐饮服务;中餐厅;中餐厅,,高德地图,2026-02-06 09:34:50,麦乐迪,高端,4.5,472,193,高,"[{""name"": ""欢唱套餐"", ""hours"": 4, ""people"": 2, ""price"": 1312, ""original_price"": 1544, ""per_person"": 656}, {""name"": ""商务套餐"", ""hours"": 3, ""people"": 4, ""price"": 1852, ""original_price"": 2316, ""per_person"": 463}, {""name"": ""豪华包厢套餐"", ""hours"": 5, ""people"": 6, ""price"": 4342, ""original_price"": 5790, ""per_person"": 723}]",3,TRUE
B000A8UPU2,金麦圣量贩KTV,广安门内大街6枫桦豪景(菜市口地铁站D西南口步行270米),西城区,116.371785,39.888665,体育休闲服务;娱乐场所;KTV,,高德地图,2026-02-06 09:34:50,其他,中端,3.6,215,71,低,"[{""name"": ""超值欢唱"", ""hours"": 4, ""people"": 2, ""price"": 426, ""original_price"": 568, ""per_person"": 213}, {""name"": ""学生优惠"", ""hours"": 3, ""people"": 2, ""price"": 255, ""original_price"": 426, ""per_person"": 127}, {""name"": ""团购特惠"", ""hours"": 4, ""people"": 4, ""price"": 795, ""original_price"": 1136, ""per_person"": 198}]",3,TRUE
B0LDO713CF,MICUP KTV(肥桃生活广场店),首都体育馆南路9号 肥桃生活广场负一层,海淀区,116.324611,39.934159,体育休闲服务;娱乐场所;KTV,,高德地图,2026-02-06 09:34:50,其他,中端,3.5,96,69,低,"[{""name"": ""超值欢唱"", ""hours"": 4, ""people"": 2, ""price"": 414, ""original_price"": 552, ""per_person"": 207}, {""name"": ""学生优惠"", ""hours"": 3, ""people"": 2, ""price"": 248, ""original_price"": 414, ""per_person"": 124}, {""name"": ""团购特惠"", ""hours"": 4, ""people"": 4, ""price"": 772, ""original_price"": 1104, ""per_person"": 193}]",3,TRUE
B0L3H79YJY,咏歌汇量贩式KTV(北京西站店),美里食光商场(北京西站地铁站1东北入口步行370米),海淀区,116.322825,39.897475,体育休闲服务;娱乐场所;KTV,,高德地图,2026-02-06 09:34:50,其他,中端,3.7,666,70,低,"[{""name"": ""超值欢唱"", ""hours"": 4, ""people"": 2, ""price"": 420, ""original_price"": 560, ""per_person"": 210}, {""name"": ""学生优惠"", ""hours"": 3, ""people"": 2, ""price"": 252, ""original_price"": 420, ""per_person"": 126}, {""name"": ""团购特惠"", ""hours"": 4, ""people"": 4, ""price"": 784, ""original_price"": 1120, ""per_person"": 196}]",3,TRUE
B000A9KYA6,魅KTV(王府井步行街店),王府井大街253号五层001,东城区,116.410471,39.914313,体育休闲服务;娱乐场所;KTV,,高德地图,2026-02-06 09:34:50,魅KTV,中高端,4.3,958,162,高,"[{""name"": ""标准欢唱"", ""hours"": 4, ""people"": 2, ""price"": 1036, ""original_price"": 1296, ""per_person"": 518}, {""name"": ""聚会套餐"", ""hours"": 4, ""people"": 6, ""price"": 2916, ""original_price"": 3888, ""per_person"": 486}, {""name"": ""周末特惠"", ""hours"": 5, ""people"": 4, ""price"": 2268, ""original_price"": 3240, ""per_person"": 567}]",3,TRUE
B0H251P498,M-ONE KTV(合景摩方购物中心店),崇文门外大街1号楼合景魔方购物中心4层,东城区,116.417825,39.899656,体育休闲服务;娱乐场所;KTV,,高德地图,2026-02-06 09:34:50,其他,中端,3.5,1526,79,低,"[{""name"": ""超值欢唱"", ""hours"": 4, ""people"": 2, ""price"": 474, ""original_price"": 632, ""per_person"": 237}, {""name"": ""学生优惠"", ""hours"": 3, ""people"": 2, ""price"": 284, ""original_price"": 474, ""per_person"": 142}, {""name"": ""团购特惠"", ""hours"": 4, ""people"": 4, ""price"": 884, ""original_price"": 1264, ""per_person"": 221}]",3,TRUE
B0JK3RAH8P,麦K量贩式KTV,马连道东街15号院一号楼商业B1层,西城区,116.331851,39.884419,体育休闲服务;娱乐场所;KTV,,高德地图,2026-02-06 09:34:50,其他,中端,3.4,186,70,低,"[{""name"": ""超值欢唱"", ""hours"": 4, ""people"": 2, ""price"": 420, ""original_price"": 560, ""per_person"": 210}, {""name"": ""学生优惠"", ""hours"": 3, ""people"": 2, ""price"": 252, ""original_price"": 420, ""per_person"": 126}, {""name"": ""团购特惠"", ""hours"": 4, ""people"": 4, ""price"": 784, ""original_price"": 1120, ""per_person"": 196}]",3,TRUE
B000A83ZNC,温莎KTV(花园店),北京城区西三环北路87号国际财经中心B1层,海淀区,116.309539,39.934921,体育休闲服务;娱乐场所;KTV,,高德地图,2026-02-06 09:34:50,温莎,高端,4.6,1885,186,高,"[{""name"": ""欢唱套餐"", ""hours"": 4, ""people"": 2, ""price"": 1264, ""original_price"": 1488, ""per_person"": 632}, {""name"": ""商务套餐"", ""hours"": 3, ""people"": 4, ""price"": 1785, ""original_price"": 2232, ""per_person"": 446}, {""name"": ""豪华包厢套餐"", ""hours"": 5, ""people"": 6, ""price"": 4185, ""original_price"": 5580, ""per_person"": 697}]",3,TRUE
