uid,name,address,keyword,city,lat,lng,crawl_time
"12; transform-origin: 10px 33px; user-select: none;"" title=""自动售货机(永利国际购物中心店|","12; transform-origin: 10px 33px; user-select: none;"" title=""自动售货机(永利国际购物中心店",,自动售货机,北京,,,2026-02-04 20:53:47
"80; transform-origin: 10px 33px; user-select: none;"" title=""自动售货机(北京首都国际机场三号航站楼D区店|","80; transform-origin: 10px 33px; user-select: none;"" title=""自动售货机(北京首都国际机场三号航站楼D区店",,自动售货机,北京,,,2026-02-04 20:53:47
"n-blue"" data-index=""1"" data-stat-code=""poisearch.all.title"">自动售货机(永利国际购物中心店|","n-blue"" data-index=""1"" data-stat-code=""poisearch.all.title"">自动售货机(永利国际购物中心店",,自动售货机,北京,,,2026-02-04 20:53:47
"n-blue"" data-index=""3"" data-stat-code=""poisearch.all.title"">自动售货机(北京首都国际机场3号航站楼C区店|","n-blue"" data-index=""3"" data-stat-code=""poisearch.all.title"">自动售货机(北京首都国际机场3号航站楼C区店",,自动售货机,北京,,,2026-02-04 20:53:47
"n-blue"" data-index=""6"" data-stat-code=""poisearch.all.title"">自动售货机(北京首都国际机场二号航站楼2号停车楼店|","n-blue"" data-index=""6"" data-stat-code=""poisearch.all.title"">自动售货机(北京首都国际机场二号航站楼2号停车楼店",,自动售货机,北京,,,2026-02-04 20:53:47
"n-blue"" data-index=""9"" data-stat-code=""poisearch.all.title"">自动售货机(国泰百货店|","n-blue"" data-index=""9"" data-stat-code=""poisearch.all.title"">自动售货机(国泰百货店",,自动售货机,北京,,,2026-02-04 20:53:47
"-blue"" data-index=""10"" data-stat-code=""poisearch.all.title"">自动售货机(北京首都国际机场三号航站楼D区店|","-blue"" data-index=""10"" data-stat-code=""poisearch.all.title"">自动售货机(北京首都国际机场三号航站楼D区店",,自动售货机,北京,,,2026-02-04 20:53:47
北京双安商场-自动售货机|,北京双安商场-自动售货机,,自动售货机,北京,,,2026-02-04 20:53:47
北京市海淀区北三环西路38号北京双安商场F6|,北京市海淀区北三环西路38号北京双安商场F6,,自动售货机,北京,,,2026-02-04 20:53:47
"transform-origin: 10px 33px; user-select: none;"" title=""丰e足食自动售货机(北京邑仕庄园店|","transform-origin: 10px 33px; user-select: none;"" title=""丰e足食自动售货机(北京邑仕庄园店",,自助售货,北京,,,2026-02-04 20:54:24
"transform-origin: 10px 33px; user-select: none;"" title=""丰e足食自动售货机(顺恒大街店|","transform-origin: 10px 33px; user-select: none;"" title=""丰e足食自动售货机(顺恒大街店",,自助售货,北京,,,2026-02-04 20:54:24
"transform-origin: 10px 33px; user-select: none;"" title=""丰e足食自动售货机(自如寓店|","transform-origin: 10px 33px; user-select: none;"" title=""丰e足食自动售货机(自如寓店",,自助售货,北京,,,2026-02-04 20:54:24
"transform-origin: 10px 33px; user-select: none;"" title=""丰e足食自动售货机(双燕街店|","transform-origin: 10px 33px; user-select: none;"" title=""丰e足食自动售货机(双燕街店",,自助售货,北京,,,2026-02-04 20:54:24
"ue"" data-index=""2"" data-stat-code=""poisearch.all.title"">丰e足食自动售货机(北京邑仕庄园店|","ue"" data-index=""2"" data-stat-code=""poisearch.all.title"">丰e足食自动售货机(北京邑仕庄园店",,自助售货,北京,,,2026-02-04 20:54:24
"ue"" data-index=""3"" data-stat-code=""poisearch.all.title"">丰e足食自动售货机(顺恒大街店|","ue"" data-index=""3"" data-stat-code=""poisearch.all.title"">丰e足食自动售货机(顺恒大街店",,自助售货,北京,,,2026-02-04 20:54:24
"ue"" data-index=""4"" data-stat-code=""poisearch.all.title"">丰e足食自动售货机(自如寓店|","ue"" data-index=""4"" data-stat-code=""poisearch.all.title"">丰e足食自动售货机(自如寓店",,自助售货,北京,,,2026-02-04 20:54:24
"ue"" data-index=""5"" data-stat-code=""poisearch.all.title"">丰e足食自动售货机(双燕街店|","ue"" data-index=""5"" data-stat-code=""poisearch.all.title"">丰e足食自动售货机(双燕街店",,自助售货,北京,,,2026-02-04 20:54:24
